Acertos em Ciências da Natureza
Q01: 25,77%,	Q02: 28,68%,	Q03: 27,64%,	Q04: 25,20%,	Q05: 34,58%,
Q06: 26,61%,	Q07: 25,96%,	Q08: 24,27%,	Q09: 25,71%,	Q10: 33,85%,
Q11: 24,07%,	Q12: 21,08%,	Q13: 28,14%,	Q14: 18,59%,	Q15: 27,67%,
Q16: 21,98%,	Q17: 36,83%,	Q18: 16,53%,	Q19: 37,02%,	Q20: 19,90%,
Q21: 33,82%,	Q22: 18,98%,	Q23: 33,94%,	Q24: 26,25%,	Q25: 27,23%,
Q26: 18,00%,	Q27: 35,41%,	Q28: 21,55%,	Q29: 33,23%,	Q30: 21,19%,
Q31: 25,41%,	Q32: 21,68%,	Q33: 24,07%,	Q34: 22,93%,	Q35: 30,42%,
Q36: 29,76%,	Q37: 29,12%,	Q38: 25,40%,	Q39: 29,72%,	Q40: 29,33%,
Q41: 25,91%,	Q42: 30,78%,	Q43: 26,36%,	Q44: 17,65%,	Q45: 28,92%,
Acertos em Ciências Humanas
Q01: 38,13%,	Q02: 31,32%,	Q03: 35,70%,	Q04: 40,26%,	Q05: 39,22%,
Q06: 43,11%,	Q07: 37,29%,	Q08: 35,60%,	Q09: 41,14%,	Q10: 27,61%,
Q11: 40,63%,	Q12: 34,98%,	Q13: 37,73%,	Q14: 36,98%,	Q15: 38,35%,
Q16: 46,62%,	Q17: 28,21%,	Q18: 43,73%,	Q19: 44,36%,	Q20: 31,01%,
Q21: 37,43%,	Q22: 28,06%,	Q23: 38,68%,	Q24: 28,55%,	Q25: 36,69%,
Q26: 38,33%,	Q27: 38,19%,	Q28: 38,27%,	Q29: 41,87%,	Q30: 30,12%,
Q31: 48,70%,	Q32: 40,42%,	Q33: 36,33%,	Q34: 38,79%,	Q35: 41,60%,
Q36: 42,77%,	Q37: 32,95%,	Q38: 39,04%,	Q39: 45,66%,	Q40: 36,93%,
Q41: 27,81%,	Q42: 36,83%,	Q43: 37,29%,	Q44: 34,32%,	Q45: 35,15%,
Acertos em Linguagens e Códigos
Q01: 60,42%,	Q02: 63,38%,	Q03: 42,14%,	Q04: 42,58%,	Q05: 60,77%,
Q06: 38,04%,	Q07: 51,35%,	Q08: 52,03%,	Q09: 50,64%,	Q10: 37,66%,
Q11: 42,91%,	Q12: 52,33%,	Q13: 50,68%,	Q14: 23,42%,	Q15: 28,67%,
Q16: 45,08%,	Q17: 46,45%,	Q18: 38,14%,	Q19: 48,51%,	Q20: 31,22%,
Q21: 48,65%,	Q22: 53,22%,	Q23: 38,40%,	Q24: 42,89%,	Q25: 42,26%,
Q26: 35,70%,	Q27: 55,26%,	Q28: 38,92%,	Q29: 29,93%,	Q30: 38,89%,
Q31: 43,80%,	Q32: 42,24%,	Q33: 42,21%,	Q34: 38,23%,	Q35: 43,77%,
Q36: 41,15%,	Q37: 33,20%,	Q38: 29,31%,	Q39: 45,60%,	Q40: 37,03%,
Q41: 42,87%,	Q42: 42,63%,	Q43: 36,57%,	Q44: 32,28%,	Q45: 44,46%,
Acertos em Matemática
Q01: 23,64%,	Q02: 29,48%,	Q03: 26,70%,	Q04: 21,47%,	Q05: 25,49%,
Q06: 29,30%,	Q07: 29,93%,	Q08: 28,18%,	Q09: 26,79%,	Q10: 21,96%,
Q11: 42,05%,	Q12: 29,81%,	Q13: 17,92%,	Q14: 25,95%,	Q15: 25,26%,
Q16: 25,10%,	Q17: 39,95%,	Q18: 28,07%,	Q19: 19,99%,	Q20: 24,55%,
Q21: 34,84%,	Q22: 21,85%,	Q23: 23,58%,	Q24: 37,56%,	Q25: 30,33%,
Q26: 20,55%,	Q27: 28,07%,	Q28: 19,45%,	Q29: 24,85%,	Q30: 23,73%,
Q31: 25,16%,	Q32: 25,67%,	Q33: 22,71%,	Q34: 35,83%,	Q35: 16,31%,
Q36: 26,39%,	Q37: 32,58%,	Q38: 23,24%,	Q39: 22,03%,	Q40: 24,63%,
Q41: 23,17%,	Q42: 28,31%,	Q43: 19,65%,	Q44: 24,53%,	Q45: 15,60%,
Tempo para analisar os dados em milisegundos: 246

